number,coreid,refcode,name,mofid-v1,LCD (Å),PLD (Å),LFPD (Å),Density (g/cm3),ASA (A2),ASA (m2/cm3),ASA (m2/g),NASA (A2),NASA (m2/cm3),NASA (m2/g),PV (A3),VF,PV (cm3/g),NAV (A3),NAV_VF,NPV (cm3/g),structure_dimension,topology(SingleNodes),topology(SingleNodes)-zeo,topology(AllNodes),topology(AllNodes)-zeo,catenation,dimension_by_topo,hall,number_spacegroup,Metal Types,Has OMS,OMS Types,Charge,average_atomic_mass,Heat_capacity@300K (J/g/K),std @ 300 K (J/g/K),Heat_capacity@350K (J/g/K),std @ 350 K (J/g/K),Heat_capacity@400K (J/g/K),std @ 400 K (J/g/K),k_cp (J/g/K/K),cp0 (J/g/K),natoms,Source,DOI,Year,Time,Publication,Extension,unmodified,Thermal_stability (℃),Solvent_stability,Water_stability,KH_Classes,memo
599,2021[Th][fcu]3[FSR]1,d0cc02841j2_3_FSR_pacman,-,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[O][Th]123[O]4[Th]56([O]3[Th]37([O]2[Th]28([O]1[Th]14([O]6[Th]([O]53)([O]21)([O]78)[O])[O])[O])[O])[O] MOFid-v1.fcu.cat0;d0cc02841j2_3_FSR_pacman,13.67888,7.07915,13.67888,0.931236,1169.67,2145.4,2303.82,0,0,0,4075.91,0.7476,0.802804,6.5424,0.0012,0.00128861,3,fcu,unnamed,fcu,unnamed,1,3,-P 1,2,Th,No,N/A,PACMAN-DDEC6,17.37207659,0.592125172,0.034606655,0.659600181,0.045473267,0.6876465,0.042602108,0.001412689,0.244626828,176,SI,10.1039/D0CC02841J,2021,2021/5/11,RSC,Free Solvent Removed,TRUE,311.8,0.1482709,0.33,weak,
600,2021[Th][fcu]3[FSR]2,d0cc02841j2_4_FSR_pacman,-,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O][Th]123[O]4[Th]56([O]3[Th]37([O]2[Th]28([O]1[Th]14([O]6[Th]([O]53)([O]21)([O]78)[O])[O])[O])[O])[O] MOFid-v1.fcu.cat0;d0cc02841j2_4_FSR_pacman,7.89722,4.31912,7.89722,1.64417,485.939,1849.92,1125.14,0,0,0,1624.42,0.6184,0.376118,6.30435,0.0024,0.00145971,3,fcu,unnamed,fcu,unnamed,1,3,-R 3,148,Th,No,N/A,PACMAN-DDEC6,22.42163552,0.525709436,0.021187731,0.578521761,0.021336559,0.610946143,0.036132407,0.001465023,0.227106998,116,SI,10.1039/D0CC02841J,2021,2021/5/11,RSC,Free Solvent Removed,TRUE,326.8,0.10805297,0.28,weak,
601,2021[GeNi][pcu]3[FSR]1,d0cc03196h2_2_FSR_pacman,-,[Ni].n1ccncc1 MOFid-v1.sql.cat0;d0cc03196h2_2_FSR_pacman,4.08645,3.31052,4.08645,1.81188,12.0037,323.025,178.281,0,0,0,152.134,0.4094,0.225953,0,0,0,3,pcu,unnamed,pcu,unnamed,1,3,-C 2yc,15,"Ge,Ni",No,N/A,PACMAN-DDEC6,14.48213354,0.75089075,0.020384444,0.830122818,0.028413268,0.931115734,0.047985212,0.001388136,0.26528228,28,SI,10.1039/D0CC03196H,2021,2021/6/13,RSC,Free Solvent Removed,TRUE,244.2,0.88289297,0.43,strong,
602,2021[Eu][fcu]3[FSR]1,d0cc04152a2_FSR_pacman,-,[O-]C(=O)c1cnc(nc1)c1ncc(cn1)C(=O)[O-].[O][Eu]123[O]4[Eu]56([O]3[Eu]37([O]2[Eu]28([O]1[Eu]14([O]6[Eu]([O]53)([O]21)([O]78)[O])[O])[O])[O])[O] MOFid-v1.fcu.cat0;d0cc04152a2_FSR_pacman,13.72166,7.23189,13.72166,0.819531,1100.47,2088.3,2548.17,0,0,0,3990.21,0.7572,0.923944,5.26969,0.001,0.00122021,3,fcu,unnamed,fcu,unnamed,1,3,-P 2ybc,14,Eu,No,N/A,PACMAN-DDEC6,17.11022737,0.697697211,0.019436285,0.743333286,0.02930774,0.816390803,0.046805593,0.001445549,0.235730808,152,SI,10.1039/D0CC04152A,2021,2021/7/30,RSC,Free Solvent Removed,TRUE,393.9,0.42557892,0.66,weak,
603,2021[Co][nan]3[FSR]1,d0cc04543h2_1_FSR_pacman,-,[Co].[O-]C(=O)c1cc(cc(c1)c1cccnc1)C(=O)[O-] MOFid-v1.unknown.cat0;d0cc04543h2_1_FSR_pacman,5.78624,3.89368,5.46445,1.27595,93.7639,534.984,419.282,29.6553,169.202,132.609,817.436,0.4664,0.365531,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,-P 2ybc,14,Co,No,N/A,PACMAN-DDEC6,10.52122078,0.919221227,0.025526295,1.022099758,0.039056534,1.068369502,0.050548725,0.001406276,0.248366387,128,SI,10.1039/D0CC04543H,2021,2021/8/26,RSC,Free Solvent Removed,TRUE,286,0.7510348,0.81,unknown,
604,2021[Co][nan]3[FSR]2,d0cc04543h2_2_FSR_pacman,-,"[Co].[O-]C(=O)c1cc(cc(c1)c1cccnc1)C(=O)[O-] MOFid-v1.unknown,cds.cat0;d0cc04543h2_2_FSR_pacman",6.23977,3.42236,6.20808,1.13022,209.302,1186.61,1049.9,0,0,0,959.537,0.544,0.481322,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,C 2y,5,Co,Yes,Co,PACMAN-DDEC6,11.54354519,0.857034036,0.069716281,0.962830647,0.111478146,1.011326224,0.119222408,0.001380627,0.26102669,104,SI,10.1039/D0CC04543H,2021,2021/8/26,RSC,Free Solvent Removed,TRUE,322.1,0.47025776,0.587857143,weak,
605,2021[Co][rtl]3[FSR]1,d0cc04543h2_3_FSR_pacman,-,"[Co][Co].[O-]C(=O)c1cc(cc(c1)c1cccnc1)C(=O)[O-] MOFid-v1.rtl,sql.cat0;d0cc04543h2_3_FSR_pacman",4.41275,2.67575,4.41275,1.20818,0,0,0,170.767,1034.93,856.602,852.743,0.5168,0.427752,0,0,0,3,rtl,unnamed,rtl,unnamed,1,3,P 2ac 2ab,19,Co,No,N/A,PACMAN-DDEC6,11.54354519,0.859394839,0.012957215,0.978664872,0.021891816,1.027951788,0.031000196,0.001422996,0.248079333,104,SI,10.1039/D0CC04543H,2021,2021/8/26,RSC,Free Solvent Removed,TRUE,302.8,0.8536194,0.83,weak,
606,2021[Mn][dia]3[FSR]1,d0cc05715k2_1_FSR_pacman,-,"[Mn].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1nc2c([nH]1)c1cccnc1c1c2cccn1 MOFid-v1.unknown,dia.cat1;d0cc05715k2_1_FSR_pacman",10.29679,5.47834,10.29679,0.736026,1705.06,2132.98,2897.97,0,0,0,5298.28,0.6628,0.900511,0,0,0,3,dia,unnamed,dia,unnamed,6,3,-C 2yc,15,Mn,No,N/A,PACMAN-DDEC6,9.324040474,0.923297005,0.014092455,1.029022736,0.023451343,1.096209207,0.033107379,0.001406231,0.24651332,380,SI,10.1039/D0CC05715K,2021,2021/9/2,RSC,Free Solvent Removed,TRUE,367.5,0.62694865,0.78,weak,
607,2021[Zn][zst]3[FSR]1,d0cc05715k2_2_FSR_pacman,-,"[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1nc2c([nH]1)c1cccnc1c1c2cccn1.[O-]C=O.[Zn] MOFid-v1.zst,dia.cat1;d0cc05715k2_2_FSR_pacman",10.77433,10.34801,10.77433,0.994822,859.422,1223.94,1230.31,0,0,0,4175.14,0.5946,0.597695,0,0,0,3,zst,unnamed,zst,unnamed,2,3,"-R 3 2""",166,Zn,Yes,Zn,PACMAN-DDEC6,10.11192962,0.900985613,0.034887192,1.001433433,0.038484997,1.060067561,0.041024655,0.001394746,0.24764012,416,SI,10.1039/D0CC05715K,2021,2021/9/2,RSC,Free Solvent Removed,TRUE,326.5,0.7393148,0.82209167,weak,
608,2021[Co][pcu]3[FSR]1,d0ce00175a2_1_FSR_pacman,-,[Co].[O-]C(=O)c1ccc(cc1)c1ccc(cn1)C(=O)[O-].n1ccc(cc1)c1ccc(cc1)c1ccncc1 MOFid-v1.pcu.cat0;d0ce00175a2_1_FSR_pacman,5.13193,3.35545,5.13193,1.21954,181.986,627.58,514.604,0,0,0,1331.01,0.459,0.376371,0,0,0,3,pcu,unnamed,pcu,unnamed,3,3,-P 2yc,13,Co,No,N/A,PACMAN-DDEC6,9.507358125,0.933780625,0.039854409,1.041323045,0.068087,1.091293239,0.078102704,0.001440989,0.234711159,224,SI,10.1039/D0CE00175A,2021,2021/2/27,RSC,Free Solvent Removed,TRUE,379.4,0.6463052,0.952622378,weak,
609,2021[Cu][pcu]3[FSR]1,d0ce00262c2_1_FSR_pacman,-,O=C(N1CCCC1C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Cu].n1ccc(cc1)c1ccncc1 MOFid-v1.ERROR.cat0;d0ce00262c2_1_FSR_pacman,5.84761,4.82798,5.81319,1.15333,303.934,1097.26,951.383,0,0,0,1410.45,0.5092,0.441504,0,0,0,3,pcu,unnamed,pcu,unnamed,1,3,-R 3,148,Cu,Yes,Cu,PACMAN-DDEC6,9.430589412,0.948557348,0.036321049,1.049893388,0.040424238,1.108140258,0.041775326,0.001395258,0.258709653,204,SI,10.1039/D0CE00262C,2021,2021/4/3,RSC,Free Solvent Removed,FALSE,222.6,0.53299755,0.834282801,strong,
610,2021[Cu][pcu]3[FSR]2,d0ce00262c2_2_FSR_pacman,-,O=C(N1CCCC1C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Cu].n1ccc(cc1)c1ccncc1 MOFid-v1.ERROR.cat0;d0ce00262c2_2_FSR_pacman,5.84961,4.82366,5.84961,1.14995,307.169,1105.69,961.507,0,0,0,1391.26,0.5008,0.435496,0,0,0,3,pcu,unnamed,pcu,unnamed,1,3,-C 2yc,15,Cu,Yes,Cu,PACMAN-DDEC6,9.430589412,0.947946558,0.042176554,1.050930523,0.070757649,1.107752057,0.08085677,0.001338116,0.276345984,204,SI,10.1039/D0CE00262C,2021,2021/4/3,RSC,Free Solvent Removed,FALSE,220.6,0.5250521,0.834282801,strong,
611,2021[Cd][pcu]3[FSR]1,d0ce00405g2_2_FSR_pacman,-,OC(=O)c1ccc(cc1)CNc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].n1ccc(cc1)c1ccncc1 MOFid-v1.ERROR.cat0;d0ce00405g2_2_FSR_pacman,5.13307,2.56257,5.07988,1.18926,0,0,0,260.502,801.597,674.032,1715.89,0.528,0.443975,0,0,0,3,pcu,unnamed,pcu,unnamed,1,3,-C 2yc,15,Cd,No,N/A,PACMAN-DDEC6,10.57921018,0.869398264,0.03361722,0.971057103,0.039469588,1.020784038,0.040258321,0.001378894,0.257565423,220,SI,10.1039/D0CE00405G,2021,2021/4/24,RSC,Free Solvent Removed,TRUE,297.2,0.8019577,0.723008812,strong,
612,2021[Tb][nan]3[FSR]1,d0ce00430h2_FSR_pacman,-,[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[OH2][Tb][Tb][OH2] MOFid-v1.pcu.cat0;d0ce00430h2_FSR_pacman,3.53975,2.89855,3.53685,2.00315,0,0,0,3.68096,15.6075,7.79149,760.836,0.3226,0.161046,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,-P 2ybc,14,Tb,No,N/A,PACMAN-DDEC6,14.22522338,0.727729234,0.039534579,0.817676509,0.068178353,0.875026023,0.074924097,0.001411619,0.246931328,200,SI,10.1039/D0CE00430H,2021,2021/4/28,RSC,Free Solvent Removed,TRUE,291.9,0.67177105,0.64,superweak,
613,2021[Co][ant]3[FSR]1,d0ce00475h2_1_FSR_pacman,-,Nc1cnccc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH2][Co][OH]([Co][OH2])[Co] MOFid-v1.ant.cat0;d0ce00475h2_1_FSR_pacman,4.48042,2.44167,4.46116,1.36678,0,0,0,262.911,687.169,502.767,1808.93,0.4728,0.345923,0,0,0,3,ant,unnamed,ant,unnamed,1,3,-P 1,2,Co,Yes,Co,PACMAN-DDEC6,11.40988645,0.894618759,0.033708235,1.002420224,0.041727628,1.054005547,0.039803842,0.001407827,0.255079616,276,SI,10.1039/D0CE00475H,2021,2021/4/13,RSC,Free Solvent Removed,FALSE,241.8,0.84970665,0.777545455,unknown,
614,2021[Co][nan]3[FSR]3,d0ce00475h2_2_FSR_pacman,-,Nc1cnccc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Co][O]([Co])[Co].[O-]C=O MOFid-v1.ERROR.cat0;d0ce00475h2_2_FSR_pacman,5.75941,4.79216,5.7503,1.20692,759.915,1400.79,1160.63,0,0,0,2994.55,0.552,0.457362,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,-P 2ybc,14,Co,No,N/A,PACMAN-DDEC6,11.94834009,0.885272274,0.039961431,0.963506129,0.065596247,1.026717108,0.073708608,0.001350725,0.275628417,330,SI,10.1039/D0CE00475H,2021,2021/4/13,RSC,Free Solvent Removed,FALSE,305.2,0.20148835,0.552538462,weak,
615,2021[Cd][nan]3[FSR]2,d0ce00476f2_2_FSR_pacman,-,[Cd].[O-]C(=O)c1cc(cc(c1)C(C)(C)C)C(=O)[O-].n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1 MOFid-v1.ERROR.cat0;d0ce00476f2_2_FSR_pacman,7.76829,2.84838,7.76829,1.15762,0,0,0,494.383,1062.05,917.442,2517.42,0.5408,0.467166,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,-C 2yc,15,Cd,No,N/A,PACMAN-DDEC6,10.20473585,0.870854484,0.040562047,0.954037564,0.067474115,1.00796022,0.079499808,0.001386555,0.258660562,318,SI,10.1039/D0CE00476F,2021,2021/5/14,RSC,Free Solvent Removed,TRUE,374.4,0.89979964,0.713934343,unknown,
616,2021[Zn][hcb]2[FSR]1,d0ce00490a2_1_FSR_pacman,-,[O]C1=C[CH]N(C=C1)Cc1c2ccccc2c(c2c1cccc2)Cn1ccc(=O)cc1.[O]S(c1cccc2c1cccc2S([O])([O])[O])([O])[O].[Zn] MOFid-v1.hcb.cat0;d0ce00490a2_1_FSR_pacman,5.6268,3.58472,5.6268,1.22503,177.281,878.782,717.355,0,0,0,981.643,0.4866,0.397214,0,0,0,2,hcb,unnamed,hcb,unnamed,1,2,-P 2a 2bc,52,Zn,No,N/A,PACMAN-DDEC6,9.921469867,0.911637234,0.043502183,1.022088731,0.063053005,1.074088018,0.073401176,0.001333832,0.278504369,150,SI,10.1039/D0CE00490A,2021,2021/6/22,RSC,Free Solvent Removed,FALSE,333.7,0.79634905,0.48,unknown,
617,2021[Cd][hcb]2[FSR]1,d0ce00490a2_6_FSR_pacman,-,[Cd].[O]C1=C[CH]N(C=C1)Cc1c2ccccc2c(c2c1cccc2)Cn1ccc(=O)cc1.[O]S(c1cccc2c1cccc2S([O])([O])[O])([O])[O] MOFid-v1.unknown.cat0;d0ce00490a2_6_FSR_pacman,7.21275,3.56763,7.21275,1.27175,197.979,958.252,753.493,0,0,0,1000.38,0.4842,0.380736,0,0,0,2,hcb,unnamed,hcb,unnamed,1,2,-P 1,2,Cd,No,N/A,PACMAN-DDEC6,10.54854987,0.855309461,0.045798293,0.949066866,0.076942681,1.010241733,0.082037085,0.001348127,0.275695764,150,SI,10.1039/D0CE00490A,2021,2021/6/22,RSC,Free Solvent Removed,TRUE,332.2,0.77593076,0.58,none,
618,2021[Cd][sql]2[FSR]1,d0ce00513d2_3_FSR_pacman,-,[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-] MOFid-v1.sql.cat1;d0ce00513d2_3_FSR_pacman,4.01416,2.8117,4.01278,1.44416,0,0,0,158.912,378.241,261.91,1938.51,0.4614,0.319494,0,0,0,2,sql,unnamed,sql,unnamed,2,2,-P 1,2,Cd,Yes,Cd,PACMAN-DDEC6,11.71105846,0.795167352,0.012636481,0.896151855,0.022235067,0.93723621,0.022208869,0.001396616,0.257956171,312,SI,10.1039/D0CE00513D,2021,2021/5/5,RSC,Free Solvent Removed,FALSE,340.4,0.4226147,0.54125,weak,
619,2021[MnSi][kgd]2[FSR]1,d0ce00629g2_2_FSR_pacman,-,[Mn].[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])O.[OH2][Mn].[OH2][Mn][OH2] MOFid-v1.kgd.cat0;d0ce00629g2_2_FSR_pacman,6.14013,3.39045,6.13338,1.12436,750.115,1151.42,1024.07,0,0,0,3383.73,0.5194,0.461952,0,0,0,2,kgd,unnamed,kgd,unnamed,1,2,-P 1,2,"Mn,Si",No,N/A,PACMAN-DDEC6,10.21085366,0.943397366,0.01315136,1.062610726,0.020976147,1.118636634,0.021544113,0.001408664,0.253387802,432,SI,10.1039/D0CE00629G,2021,2021/5/12,RSC,Free Solvent Removed,TRUE,350,0.952584,0.61,unknown,
620,2021[Zn][bcg]3[FSR]1,d0ce00725k2_2_FSR_pacman,-,O=C1N(Cc2cccnc2)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)Cc1cccnc1.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn] MOFid-v1.bcg.cat0;d0ce00725k2_2_FSR_pacman,5.97175,2.83006,4.80777,1.11663,0,0,0,849.38,1255.91,1124.73,3798.15,0.5616,0.502943,0,0,0,3,bcg,unnamed,bcg,unnamed,1,3,-F 4 2 3,225,Zn,Yes,Zn,PACMAN-DDEC6,11.25657941,0.858074138,0.027557239,0.986584735,0.035239889,1.035924411,0.039908079,0.001405012,0.252228066,404,SI,10.1039/D0CE00725K,2021,2021/7/7,RSC,Free Solvent Removed,FALSE,388.2,0.9478144,0.695420117,weak,
621,2021[Zn][nan]3[FSR]3,d0ce00798f2_1_FSR_pacman,-,O=C(C1=CN=N[CH]1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].O=C(C1=C[N]N=C1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].O=C([C]1C=NN=C1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn] MOFid-v1.apo.cat0;d0ce00798f2_1_FSR_pacman,8.37161,7.49472,8.37161,0.750209,1425.33,2384.38,3178.29,0,0,0,4293.26,0.7182,0.957333,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,-F 4 2 3,225,Zn,No,N/A,PACMAN-DDEC6,12.50270889,0.834000511,0.023372045,0.930308019,0.035767086,0.989731704,0.050272976,0.001385346,0.260223135,216,SI,10.1039/D0CE00798F,2021,2021/7/17,RSC,Free Solvent Removed,TRUE,376.1,0.25813758,0.618571429,strong,
622,2021[Cd][pts]3[FSR]1,d0ce00814a2_1_FSR_pacman,-,unknown,4.66145,3.59364,4.66145,1.2417,259.934,966.505,778.374,10.2305,38.0397,30.6352,1443.14,0.5366,0.43215,0,0,0,3,pts,unnamed,unstable,unnamed,1,3,-P 4 2,123,Cd,No,N/A,PACMAN-DDEC6,11.42636273,0.817008963,0.038364326,0.912949094,0.070554381,0.963473208,0.084292317,0.001399096,0.256986684,176,SI,10.1039/D0CE00814A,2021,2021/8/26,RSC,Free Solvent Removed,FALSE,368.7,0.85381484,0.75,strong,
623,2021[Zn][sqc]3[FSR]1,d0ce00814a2_2_FSR_pacman,-,unknown,10.21223,6.45473,10.21223,1.02219,526.542,1234.13,1207.33,0,0,0,2505.3,0.5872,0.57445,0,0,0,3,sqc5577,unnamed,unnamed,unnamed,1,3,-C 2yc,15,Zn,Yes,Zn,PACMAN-DDEC6,10.67594341,0.869263485,0.030791994,0.972389628,0.050884068,1.030134821,0.066500884,0.001368539,0.265844498,246,SI,10.1039/D0CE00814A,2021,2021/8/26,RSC,Free Solvent Removed,TRUE,348.7,0.8909954,0.82,unknown,
624,2021[Cu][sql]2[FSR]4,d0ce00969e2_FSR_pacman,-,NC(=S)c1ccncc1.[Cu]I MOFid-v1.ERROR.cat1;d0ce00969e2_FSR_pacman,5.17339,4.44401,5.17339,1.73659,141.797,1128.06,649.579,0,0,0,664.201,0.5284,0.304274,0,0,0,2,sql,unnamed,sql,unnamed,2,2,-F 4 2 3,225,Cu,No,N/A,PACMAN-DDEC6,19.33180647,0.537653877,0.030744343,0.598582719,0.049910385,0.62368066,0.065932797,0.001354305,0.271124151,68,SI,10.1039/D0CE00969E,2021,2021/7/15,RSC,Free Solvent Removed,FALSE,238.7,0.8114997,0.22,none,
625,2021[Co][dia]3[FSR]1,d0ce00979b2_2_FSR_pacman,-,[Co].[O-]C(=O)c1ccc2c(c1)[nH]cn2 MOFid-v1.dia.cat0;d0ce00979b2_2_FSR_pacman,4.6055,4.07898,4.59046,1.31584,145.272,754.931,573.727,0,0,0,885.952,0.4604,0.349892,0,0,0,3,dia,unnamed,dia,unnamed,3,3,P 1,1,Co,No,N/A,PACMAN-DDEC6,10.89166271,0.888658176,0.036587295,0.991984071,0.068858275,1.047383622,0.081509572,0.001406558,0.259407323,140,SI,10.1039/D0CE00979B,2021,2021/7/20,RSC,Free Solvent Removed,TRUE,326.3,0.79073054,0.68,weak,
626,2021[Cu][sql]2[FSR]5,d0ce00985g2_1_FSR_pacman,-,[Cu][OH]1[Cu][OH]([Cu]1)[Cu].[O-]C(=O)c1ccccc1C(=O)[O-] MOFid-v1.sql.cat0;d0ce00985g2_1_FSR_pacman,4.92491,3.90947,4.91213,1.1346,567.944,1563.26,1377.81,0.0189376,0.0521257,0.045942,1948.05,0.5362,0.472591,0,0,0,2,sql,unnamed,sql,unnamed,1,2,C -2yc,9,Cu,Yes,Cu,PACMAN-DDEC6,10.34303567,0.865204705,0.032621592,0.958711,0.0622936,0.99758589,0.07903732,0.001373875,0.267118421,240,SI,10.1039/D0CE00985G,2021,2021/7/13,RSC,Free Solvent Removed,FALSE,246.9,0.39674503,0.7625,superstrong_high_loading,
627,2021[Zn][fit]3[FSR]1,d0ce01004a2_2_FSR_pacman,-,"[O-]C(=O)c1cc(cc(c1)Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn][OH]1[Zn][OH2][Zn][OH]([Zn][OH2][Zn]1)[Zn] MOFid-v1.kgd,ERROR.cat0;d0ce01004a2_2_FSR_pacman",6.01545,4.52404,6.01545,1.24334,351.722,1858.52,1494.78,0,0,0,1102.94,0.5828,0.468739,0,0,0,3,fit,unnamed,unnamed,unnamed,1,3,-P 2ybc,14,Zn,Yes,Zn,PACMAN-DDEC6,13.62448038,0.788313218,0.014140953,0.890033861,0.02362987,0.941337926,0.027100848,0.001407557,0.250192402,104,SI,10.1039/D0CE01004A,2021,2021/9/7,RSC,Free Solvent Removed,FALSE,367.8,0.33899516,0.7492,strong,
628,2021[Zn][dmp]3[FSR]1,d0ce01043j2_5_FSR_pacman,-,[O-]C(=O)C1CCCCC1C(=O)[O-].[Zn].n1ccc(cc1)C=Cc1ccncc1 MOFid-v1.dmp.cat1;d0ce01043j2_5_FSR_pacman,6.34495,5.84828,6.34397,1.16643,422.835,888.673,761.876,0,0,0,2258.17,0.4746,0.406883,0,0,0,3,dmp,unnamed,dmp,unnamed,2,3,F 2 2 -1d,70,Zn,No,N/A,PACMAN-DDEC6,8.888591489,0.983068668,0.038236933,1.103385039,0.067870604,1.186100798,0.069434738,0.001377278,0.263635332,376,SI,10.1039/D0CE01043J,2021,2021/9/9,RSC,Free Solvent Removed,TRUE,343.7,0.32873982,0.674846582,unknown,
629,2021[Mn][nan]2[FSR]1,d0ce01054e2_1_FSR_pacman,-,O=C1NN=C([CH]1)C(=O)[O-].[OH2][Mn][OH2] MOFid-v1.ERROR.cat0;d0ce01054e2_1_FSR_pacman,4.14336,3.79689,4.14336,1.80299,31.0914,388.854,215.672,0,0,0,272.332,0.3406,0.188909,0,0,0,2,unnamed,unnamed,unnamed,unnamed,1,2,P 2c -2n,33,Mn,No,N/A,PACMAN-DDEC6,12.05771583,0.887991469,0.028108341,0.993721513,0.057276614,1.035028026,0.070534973,0.001337976,0.280771154,72,SI,10.1039/D0CE01054E,2021,2021/9/15,RSC,Free Solvent Removed,FALSE,333.1,0.7709135,0.48,weak,
630,2021[Cd][flu]3[FSR]1,d0ce01061h2_FSR_pacman,-,"O=C(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd] MOFid-v1.ERROR,kgd.cat0;d0ce01061h2_FSR_pacman",4.53525,3.60165,4.53095,1.547,123.707,1071.37,692.547,0,0,0,594.883,0.5152,0.333032,0,0,0,3,flu,unnamed,flt,unnamed,1,3,-P 2ybc,14,Cd,No,N/A,PACMAN-DDEC6,15.15085296,0.716541929,0.028711805,0.793905547,0.057195556,0.848665601,0.069732407,0.001392407,0.259278038,71,SI,10.1039/D0CE01061H,2021,2021/8/10,RSC,Free Solvent Removed,TRUE,358.4,0.7149591,0.732,unknown,
631,2021[Cd][tfz]3[FSR]4,d0ce01139h2_FSR_pacman,-,O=C(c1ccc(cc1)C=Cc1ccc(cc1)C(=O)Nc1cccnc1)Nc1cccnc1.[Cd].[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-] MOFid-v1.tfz-d.cat0;d0ce01139h2_FSR_pacman,5.50488,2.65904,5.50488,1.19949,0,0,0,206.749,888.635,740.847,1205.17,0.518,0.431852,0,0,0,3,tfz-d,unnamed,tfz-d,unnamed,1,3,P 2 2ab,18,Cd,No,N/A,PACMAN-DDEC6,10.18534836,0.873049416,0.028235157,0.954364821,0.057708105,1.012629667,0.070378131,0.001365166,0.268546014,165,SI,10.1039/D0CE01139H,2021,2021/9/10,RSC,Free Solvent Removed,FALSE,281.7,0.5742289,0.77,weak,
632,2021[Co][sql]2[FSR]2,d0ce01172j2_4_FSR_pacman,-,O=C(c1ccc(cc1)C(=O)[O-])NC1CCCCC1NC(=O)c1ccc(cc1)C(=O)[O-].[Co].n1ccc(cc1)c1ccc(cc1)c1ccncc1 MOFid-v1.unknown.cat1;d0ce01172j2_4_FSR_pacman,5.8476,3.94159,5.8476,1.17146,302.756,763.21,651.502,0.820056,2.06726,1.76468,1855.71,0.4678,0.39933,0,0,0,2,sql,unnamed,sql,unnamed,2,2,-P 2ybc,14,Co,No,N/A,PACMAN-DDEC6,8.63724784,1.006666158,0.033992294,1.118023714,0.067859835,1.177441848,0.078349662,0.001354261,0.279335025,324,SI,10.1039/D0CE01172J,2021,2021/9/16,RSC,Free Solvent Removed,TRUE,317.9,0.23464519,0.72,superstrong_high_loading,
633,2021[Co][flu]3[FSR]1,d0ce01201g2_1_FSR_pacman,-,"OC(=O)c1cc(cc(c1)c1cc(ccc1C(=O)[O-])C(=O)[O-])c1cc(ccc1C(=O)[O-])C(=O)[O-].[OH2][Co][OH]1[Co]([OH2])[OH]([Co]1[OH2])[Co][OH2] MOFid-v1.kgd,unknown.cat0;d0ce01201g2_1_FSR_pacman",4.67821,3.63338,4.67821,1.44453,260.672,918.473,635.83,0,0,0,1266.36,0.4462,0.30889,0,0,0,3,flu,unnamed,unnamed,unnamed,1,3,P 4w,76,Co,No,N/A,PACMAN-DDEC6,11.64573189,0.882651117,0.016206719,0.995170445,0.030761228,1.045880701,0.03477299,0.00149339,0.209432241,212,SI,10.1039/D0CE01201G,2021,2021/9/24,RSC,Free Solvent Removed,FALSE,270.7,0.7228842,0.83,weak,
